account_no,account_name,account_class,entity,period,debit,credit,balance
1000,Cash,Asset,EU Ltd,2024-01-31,152000,0,152000
1100,Accounts Receivable,Asset,EU Ltd,2024-01-31,89000,0,89000
1200,Inventory,Asset,EU Ltd,2024-01-31,67000,0,67000
1500,Property Plant Equipment,Asset,EU Ltd,2024-01-31,410000,0,410000
2000,Accounts Payable,Liability,EU Ltd,2024-01-31,0,73000,-73000
2100,Long Term Debt,Liability,EU Ltd,2024-01-31,0,250000,-250000
3000,Share Capital,Equity,EU Ltd,2024-01-31,0,300000,-300000
4000,Sales Revenue,Revenue,EU Ltd,2024-01-31,0,188000,-188000
5000,Cost of Goods Sold,Expense,EU Ltd,2024-01-31,96000,0,96000
6000,Operating Expenses,Expense,EU Ltd,2024-01-31,51000,0,51000
1000,Cash,Asset,EU Ltd,2024-02-29,161000,0,161000
1100,Accounts Receivable,Asset,EU Ltd,2024-02-29,94000,0,94000
1200,,Asset,EU Ltd,2024-02-29,71000,0,71000
1500,Property Plant Equipment,Asset,EU Ltd,2024-02-29,408000,0,408000
2000,Accounts Payable,Liability,EU Ltd,2024-02-29,0,78000,-78000
2100,Long Term Debt,Liability,EU Ltd,2024-02-29,0,245000,-245000
3000,Share Capital,Equity,EU Ltd,2024-02-29,0,300000,-300000
4000,Sales Revenue,Revenue,EU Ltd,2024-02-29,0,205000,-205000
5000,Cost of Goods Sold,Expense,EU Ltd,2024-02-29,104000,0,104000
6000,Operating Expenses,Expense,EU Ltd,2024-02-29,55000,0,55000
1000,Cash,Asset,US Inc,2024-01-31,233000,0,233000
1100,Accounts Receivable,Asset,US Inc,2024-01-31,142000,0,142000
1200,Inventory,Asset,US Inc,2024-01-31,98000,0,98000
1500,Property Plant Equipment,Asset,US Inc,2024-01-31,620000,0,620000
2000,Accounts Payable,Liability,US Inc,2024-01-31,0,115000,-115000
2100,Long Term Debt,Liability,US Inc,2024-01-31,0,400000,-400000
3000,Share Capital,Equity,US Inc,2024-01-31,0,500000,-500000
4000,Sales Revenue,Revenue,US Inc,2024-01-31,0,312000,-312000
5000,Cost of Goods Sold,Expense,US Inc,2024-01-31,158000,0,158000
6000,Operating Expenses,Expense,US Inc,2024-01-31,84000,0,
1000,Cash,Asset,US Inc,2024-02-29,241000,0,241000
1100,Accounts Receivable,Asset,US Inc,2024-02-29,150000,0,150000
1200,Inventory,Asset,US Inc,2024-02-29,101000,0,101000
1500,Property Plant Equipment,Asset,US Inc,2024-02-29,616000,0,616000
2000,Accounts Payable,Liability,US Inc,2024-02-29,0,121000,-121000
2100,Long Term Debt,Liability,US Inc,2024-02-29,0,392000,-392000
3000,Share Capital,Equity,US Inc,2024-02-29,0,500000,-500000
4000,Sales Revenue,Revenue,US Inc,2024-02-29,0,334000,-334000
5000,Cost of Goods Sold,Expense,US Inc,2024-02-29,167000,0,167000
6000,Operating Expenses,Expense,US Inc,2024-02-29,90000,0,90000
